66.249.71.247 - - [11/Feb/2011:01:34:53 +0000] "GET /2011/02/10" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.247 - - [11/Feb/2011:01:57:03 +0000] "GET /2011/02/05" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
67.195.114.220 - - [11/Feb/2011:03:31:02 +0000] "GET /2011/02/04" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
66.249.71.247 - - [11/Feb/2011:04:37:19 +0000] "GET /2011/02/11" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.247 - - [11/Feb/2011:06:56:32 +0000] "GET /generateTrackBackLink.action?entry=1294763160000" 404 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.247 - - [11/Feb/2011:06:56:32 +0000] "GET /generateTrackBackLink.action?entry=1294763160000" 404 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
67.195.114.220 - - [11/Feb/2011:07:35:51 +0000] "GET /what-if-lisp-was-invented-by-the-japanese?" 404 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
67.250.2.83 - - [11/Feb/2011:08:49:50 +0000] "GET /what-if-lisp-was-invented-by-the-japanese?" 404 - "http://www.lispnyc.org/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.94 Safari/534.13"
67.250.2.83 - - [11/Feb/2011:08:49:56 +0000] "GET /what-if-lisp-was-invented-by-the-japanese" 404 - - "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.94 Safari/534.13"
50.10.158.104 - - [11/Feb/2011:11:29:14 +0000] "GET /welcome-to-the-new-website" 200 - "http://lispnyc.org:80/home" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5"
50.10.158.104 - - [11/Feb/2011:11:30:11 +0000] "GET /" 200 - "http://lispnyc.org:80/blog/default/welcome-to-the-new-website" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5"
50.10.158.104 - - [11/Feb/2011:11:30:16 +0000] "GET /welcome-to-the-new-website" 200 - "http://lispnyc.org:80/home" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5"
66.249.71.247 - - [11/Feb/2011:13:28:31 +0000] "GET /" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
